,SalePrice,Lot.Area,Gr.Liv.Area,Heating.QC,Central.Air
116,171000,9600,1645,Tipico_pobre,SI
117,142250,9600,1232,Tipico_pobre,SI
118,143000,9790,1328,Tipico_pobre,SI
119,128950,9320,1225,Tipico_pobre,SI
120,159000,9900,1209,Bueno,SI
121,178900,9680,1510,Excelente,SI
122,136300,10600,1775,Tipico_pobre,SI
123,180500,14112,1152,Tipico_pobre,SI
124,137500,8800,1054,Excelente,SI
125,84900,13260,1728,Tipico_pobre,SI
126,142125,9717,1078,Bueno,SI
127,197600,9724,2461,Bueno,SI
128,172500,17360,1556,Tipico_pobre,SI
129,116500,7207,858,Bueno,SI
130,76500,5350,1306,Excelente,SI
131,128000,9920,1063,Tipico_pobre,SI
132,153000,9600,1520,Excelente,SI
133,132000,7800,1268,Bueno,SI
134,178000,11380,1128,Bueno,SI
135,154300,11600,2274,Tipico_pobre,SI
136,180000,19900,2207,Tipico_pobre,SI
137,190000,16492,1888,Excelente,SI
138,135000,8267,1604,Tipico_pobre,SI
139,214000,8197,1480,Excelente,SI
140,136000,8050,1143,Tipico_pobre,SI
141,165500,10552,1700,Bueno,SI
142,145000,8400,1314,Tipico_pobre,SI
143,148000,8760,1194,Tipico_pobre,SI
144,142000,12160,1188,Tipico_pobre,SI
145,167500,9300,1264,Tipico_pobre,SI
146,108538,10725,1206,Tipico_pobre,SI
147,159500,10032,1580,Excelente,SI
148,108000,8382,1337,Tipico_pobre,SI
149,135000,10950,1064,Tipico_pobre,SI
150,122500,10895,972,Tipico_pobre,SI
151,119000,13587,988,Tipico_pobre,SI
152,109000,7922,1057,Tipico_pobre,SI
153,105000,7898,985,Bueno,SI
154,107500,7200,827,Excelente,SI
155,144900,10200,1086,Bueno,SI
156,129000,5868,936,Excelente,SI
157,97500,17503,1458,Tipico_pobre,SI
158,144000,6979,1056,Bueno,SI
159,162000,9830,1287,Excelente,SI
160,242000,11275,2978,Excelente,SI
161,132000,8064,1224,Tipico_pobre,SI
162,154000,7500,1246,Excelente,SI
163,166000,8520,1385,Tipico_pobre,SI
164,134800,7200,900,Tipico_pobre,SI
165,160000,10000,1116,Tipico_pobre,SI
166,148000,7635,1175,Excelente,SI
167,192000,9760,1395,Tipico_pobre,SI
168,155000,7700,1839,Tipico_pobre,SI
169,80400,4800,1844,Tipico_pobre,SI
170,96500,8800,1140,Bueno,SI
171,109500,4485,936,Tipico_pobre,SI
172,115000,8960,1028,Bueno,SI
173,143000,5805,1347,Bueno,SI
174,107400,5790,1605,Bueno,NO
175,80000,4608,747,Tipico_pobre,SI
176,119000,7200,804,Tipico_pobre,SI
177,130000,5500,1316,Tipico_pobre,SI
178,119000,6900,1251,Bueno,SI
179,129000,11851,1633,Excelente,SI
180,100000,8239,1245,Tipico_pobre,SI
181,12789,9656,832,Tipico_pobre,NO
182,105900,8520,720,Bueno,SI
183,150000,9600,1566,Tipico_pobre,NO
184,139000,10800,1652,Tipico_pobre,SI
185,240000,9000,2268,Excelente,SI
186,76500,9045,2256,Tipico_pobre,NO
187,149700,7407,1236,Tipico_pobre,SI
188,125500,7740,1363,Bueno,SI
189,122500,11340,2290,Bueno,SI
190,140750,10560,1470,Excelente,SI
191,128500,5830,1612,Excelente,SI
192,209500,7793,2068,Tipico_pobre,NO
193,87000,5000,765,Tipico_pobre,NO
194,134000,6000,1132,Tipico_pobre,SI
195,128000,6000,1196,Excelente,SI
196,132000,6360,1453,Tipico_pobre,SI
197,139900,6000,1416,Tipico_pobre,SI
198,123900,6240,1040,Bueno,SI
199,138400,6240,1536,Tipico_pobre,SI
200,109500,6120,1068,Tipico_pobre,SI
201,140000,10300,1710,Bueno,SI
202,149500,8094,1962,Excelente,SI
203,159900,12900,1560,Excelente,SI
204,122000,3068,1324,Excelente,SI
205,110000,8472,816,Tipico_pobre,NO
206,55000,5600,1092,Tipico_pobre,NO
207,140000,7630,1812,Bueno,SI
208,244400,24090,2403,Excelente,SI
209,173000,15263,1675,Bueno,SI
210,107500,10632,1224,Bueno,NO
211,100000,9900,1392,Tipico_pobre,NO
212,95000,6001,919,Excelente,NO
213,93369,6449,1884,Tipico_pobre,NO
214,114900,6048,1680,Bueno,SI
215,94000,6342,1020,Bueno,NO
216,136000,10773,1832,Tipico_pobre,NO
217,136500,10778,1768,Tipico_pobre,NO
218,131500,11625,1039,Excelente,SI
219,121500,11341,1392,Tipico_pobre,SI
220,125000,8521,912,Tipico_pobre,SI
221,154000,8246,1060,Excelente,SI
222,137900,7800,892,Excelente,SI
223,158000,9364,1352,Tipico_pobre,SI
224,137250,7832,864,Excelente,SI
225,160250,7424,1373,Tipico_pobre,SI
226,163000,11227,1440,Excelente,SI
227,158900,11616,1386,Tipico_pobre,SI
228,328000,14000,2260,Excelente,SI
229,270000,20062,1483,Bueno,SI
230,85000,9259,756,Tipico_pobre,NO
231,128000,9600,1067,Tipico_pobre,SI
232,260000,23595,1524,Tipico_pobre,SI
233,230000,17082,1981,Excelente,SI
234,124000,18600,1610,Tipico_pobre,SI
235,83000,10625,835,Tipico_pobre,NO
236,144500,11479,1074,Excelente,SI
237,129000,9571,1144,Tipico_pobre,SI
238,127000,9350,1531,Excelente,SI
239,128000,9525,1172,Tipico_pobre,SI
240,186000,10420,1212,Excelente,SI
241,308030,17485,1508,Excelente,SI
242,114000,11200,1298,Excelente,SI
243,84900,11100,930,Excelente,SI
244,178000,9206,1732,Tipico_pobre,SI
245,270000,11980,1433,Excelente,SI
246,218000,12361,1802,Excelente,SI
247,236000,9938,1949,Excelente,SI
248,147000,9069,996,Excelente,SI
249,245350,10475,1694,Excelente,SI
250,206000,6762,1208,Excelente,SI
251,198900,10402,1226,Excelente,SI
252,187000,7360,1222,Excelente,SI
253,320000,12376,3222,Bueno,SI
254,138500,14235,1445,Tipico_pobre,SI
255,155000,8816,1052,Bueno,SI
256,159000,11105,965,Bueno,SI
257,191000,9337,1692,Excelente,SI
258,200500,8750,1682,Excelente,SI
259,150000,15240,1026,Excelente,SI
260,161750,10900,1392,Excelente,SI
261,128200,10650,894,Tipico_pobre,SI
262,127000,7480,876,Tipico_pobre,SI
263,318000,10389,1978,Excelente,SI
264,272000,11423,1601,Excelente,SI
265,237000,9548,1829,Excelente,SI
266,240000,9375,2098,Excelente,SI
267,224900,12137,1661,Excelente,SI
268,143750,4435,848,Excelente,SI
269,143000,4426,848,Excelente,SI
270,232000,10635,1668,Excelente,SI
271,213000,8400,1484,Excelente,SI
272,185500,8773,1414,Excelente,SI
273,84900,8777,640,Tipico_pobre,NO
274,155891,8842,992,Excelente,SI
275,100000,9825,1664,Tipico_pobre,NO
276,144000,10044,1196,Tipico_pobre,SI
277,64000,11792,1120,Excelente,NO
278,125200,6305,1096,Tipico_pobre,SI
279,107000,7819,1117,Tipico_pobre,SI
280,90000,6410,960,Excelente,SI
281,140000,8546,1121,Excelente,SI
282,113000,8741,1487,Tipico_pobre,SI
283,80000,12180,924,Tipico_pobre,NO
284,144500,8562,1526,Excelente,SI
285,104000,4853,1296,Tipico_pobre,NO
286,128000,6858,1647,Tipico_pobre,NO
287,58500,8212,864,Tipico_pobre,NO
288,127000,5000,1691,Tipico_pobre,SI
289,126000,7890,856,Tipico_pobre,SI
290,160000,7200,2650,Tipico_pobre,SI
291,100000,9839,1666,Excelente,SI
292,169000,9638,2447,Excelente,SI
293,257500,10452,2133,Excelente,SI
294,215000,15600,2177,Excelente,SI
295,266500,9042,2340,Excelente,SI
296,335000,17500,1902,Tipico_pobre,SI
297,203135,19645,1652,Excelente,SI
298,185000,3907,1034,Bueno,SI
299,162500,3907,1191,Bueno,SI
300,289000,15602,1801,Tipico_pobre,SI
301,125500,5436,1154,Bueno,SI
302,82000,8154,540,Tipico_pobre,SI
303,110000,9140,1107,Tipico_pobre,SI
304,68400,7500,1128,Tipico_pobre,SI
305,102776,8712,1178,Bueno,SI
306,55993,8712,1044,Tipico_pobre,NO
307,50138,8712,952,Bueno,SI
308,246000,3811,1646,Excelente,SI
309,254900,11050,1916,Excelente,SI
310,190000,9620,1285,Tipico_pobre,SI
311,201000,9196,1560,Excelente,SI
312,169900,12328,1034,Tipico_pobre,SI
313,170000,12760,2048,Tipico_pobre,SI
314,160000,57200,1687,Tipico_pobre,SI
315,220000,11896,1346,Excelente,SI
316,179781,9803,1214,Excelente,SI
317,174000,9802,1444,Bueno,SI
318,269500,12003,1968,Excelente,SI
319,214900,11316,1894,Excelente,SI
320,202900,14191,1908,Excelente,SI
321,378500,13214,2018,Excelente,SI
322,169000,15300,1264,Tipico_pobre,SI
323,173500,10114,1430,Excelente,SI
324,139000,9400,1824,Tipico_pobre,SI
325,166500,11875,1344,Excelente,SI
326,83500,1974,1092,Tipico_pobre,SI
327,119500,2394,945,Excelente,SI
328,85000,2592,1112,Tipico_pobre,SI
329,76000,1476,1092,Excelente,SI
330,75500,1491,630,Excelente,SI
331,88250,1900,1092,Excelente,SI
332,85500,1890,1092,Tipico_pobre,SI
333,130000,6953,874,Excelente,SI
334,157900,26142,1188,Tipico_pobre,SI
335,149900,12887,833,Tipico_pobre,SI
336,159000,7700,2432,Bueno,SI
337,136000,10475,1274,Bueno,SI
338,161000,10544,1479,Tipico_pobre,SI
339,285000,9892,1803,Excelente,SI
340,231000,12961,1797,Excelente,SI
341,124500,13008,882,Tipico_pobre,SI
342,157000,10200,1434,Tipico_pobre,SI
343,345000,13860,2704,Bueno,SI
344,189500,10179,1608,Excelente,SI
345,270000,11792,2283,Excelente,SI
346,189000,8400,1628,Bueno,SI
347,377500,14892,1746,Excelente,SI
348,168500,8530,1474,Bueno,SI
349,375000,7296,2522,Excelente,SI
350,278000,5664,1659,Excelente,SI
351,240000,7380,1478,Excelente,SI
352,239500,8013,1734,Excelente,SI
353,177500,8923,1382,Bueno,SI
354,185000,10141,1718,Bueno,SI
355,191000,7500,1636,Bueno,SI
356,178000,7837,1571,Bueno,SI
357,185000,9765,1470,Bueno,SI
358,181316,8803,1516,Bueno,SI
359,166000,7250,1190,Excelente,SI
360,178000,9636,1593,Bueno,SI
361,174000,8125,1481,Bueno,SI
362,173000,9248,1167,Bueno,SI
363,225000,10762,1983,Excelente,SI
364,180500,11851,1442,Excelente,SI
365,187500,5814,1360,Bueno,SI
366,501837,17423,2234,Excelente,SI
367,372500,11844,2046,Excelente,SI
368,260000,16158,1530,Excelente,SI
369,185000,11900,1934,Excelente,SI
370,260000,13005,2353,Tipico_pobre,SI
371,181000,17043,1586,Tipico_pobre,SI
372,82500,11900,1411,Tipico_pobre,SI
373,215000,16635,1602,Bueno,SI
374,154000,13250,2050,Tipico_pobre,SI
375,200000,10928,1671,Tipico_pobre,SI
376,249000,12388,2673,Tipico_pobre,SI
377,187500,14115,1472,Tipico_pobre,SI
378,184000,11088,1707,Bueno,SI
379,278000,9600,2524,Tipico_pobre,SI
380,157000,11880,1601,Tipico_pobre,SI
381,152000,10400,1370,Tipico_pobre,SI
382,197500,10304,1868,Excelente,SI
383,240900,7000,1884,Excelente,SI
384,263435,8004,1935,Excelente,SI
385,220000,7500,1874,Excelente,SI
386,235000,8470,1811,Excelente,SI
387,213000,9373,1621,Tipico_pobre,SI
388,167900,10140,1116,Excelente,SI
389,158000,11050,1193,Tipico_pobre,SI
390,165000,10140,1350,Tipico_pobre,SI
391,158000,10448,2119,Tipico_pobre,SI
392,136000,9000,1792,Tipico_pobre,SI
393,148500,8750,1002,Tipico_pobre,SI
394,156000,7930,1026,Bueno,SI
395,128000,7830,1180,Tipico_pobre,SI
396,143000,8510,1050,Excelente,SI
397,76500,7038,864,Tipico_pobre,SI
398,120500,6960,864,Tipico_pobre,SI
399,124500,8120,864,Excelente,SI
400,97000,10500,864,Bueno,SI
401,130000,9000,864,Bueno,SI
402,111000,1680,987,Tipico_pobre,SI
403,125000,2368,1365,Tipico_pobre,SI
404,112000,1680,1302,Tipico_pobre,SI
405,97000,1680,987,Tipico_pobre,SI
406,118000,1680,987,Bueno,SI
407,119500,1680,1302,Tipico_pobre,SI
408,143750,4928,958,Tipico_pobre,SI
409,146000,2308,1548,Tipico_pobre,SI
410,148500,2280,1456,Tipico_pobre,SI
411,123000,2280,1055,Tipico_pobre,SI
412,147000,2308,1322,Tipico_pobre,SI
413,137900,2349,1456,Tipico_pobre,SI
414,147000,2364,1548,Tipico_pobre,SI
415,148500,2289,1441,Tipico_pobre,SI
416,138000,2364,1456,Tipico_pobre,SI
417,128500,2104,836,Tipico_pobre,SI
418,100000,7150,892,Tipico_pobre,SI
419,148800,10710,1120,Excelente,SI
420,337500,12456,1718,Excelente,SI
421,462000,14257,2772,Excelente,SI
422,485000,13518,3140,Excelente,SI
423,555000,15431,2402,Excelente,SI
424,325000,13173,1652,Excelente,SI
425,256300,14230,1600,Excelente,SI
426,253293,12704,2042,Excelente,SI
427,398800,12350,2690,Excelente,SI
428,335000,11308,2184,Excelente,SI
429,404000,12350,2020,Excelente,SI
430,402861,12220,2020,Excelente,SI
431,451950,13478,2296,Excelente,SI
432,610000,13693,2674,Excelente,SI
433,582933,13891,2822,Excelente,SI
434,360000,11578,1736,Excelente,SI
435,296000,16870,1782,Excelente,SI
436,409900,23303,2520,Excelente,SI
437,255500,11146,1717,Excelente,SI
438,335000,10367,1743,Excelente,SI
439,274900,9591,1713,Excelente,SI
440,300000,10872,1531,Excelente,SI
441,324000,13514,1808,Excelente,SI
442,350000,8834,2224,Excelente,SI
443,280000,11362,1836,Excelente,SI
444,284000,10655,1629,Excelente,SI
445,269500,12878,1760,Excelente,SI
446,233170,9541,1502,Excelente,SI
447,386250,13472,2392,Excelente,SI
448,445000,15274,2452,Excelente,SI
449,290000,13262,2400,Excelente,SI
450,255900,9658,1606,Bueno,SI
451,213000,6904,1358,Excelente,SI
452,196000,5381,1306,Excelente,SI
453,184500,5122,1306,Excelente,SI
454,212500,10307,1358,Excelente,SI
455,230000,5001,1314,Excelente,SI
456,552000,14836,2492,Excelente,SI
457,382500,15262,2200,Excelente,SI
458,320000,7390,1884,Excelente,SI
459,248500,6472,1456,Excelente,SI
460,286500,16770,1712,Excelente,SI
461,254000,6240,1324,Excelente,SI
462,173000,3480,1405,Excelente,SI
463,173000,2268,1626,Excelente,SI
464,184000,10928,1456,Excelente,SI
465,167800,8918,1490,Excelente,SI
466,174000,12589,1484,Excelente,SI
467,174000,11911,1560,Excelente,SI
468,174000,3684,1555,Excelente,SI
469,175900,3635,1569,Excelente,SI
470,192500,3182,1555,Excelente,SI
471,181000,3182,1504,Excelente,SI
472,180000,3182,1220,Excelente,SI
473,160200,3182,1145,Excelente,SI
474,188500,7795,1432,Excelente,SI
475,200000,8068,2267,Excelente,SI
476,170000,9434,1374,Excelente,SI
477,189500,7984,1630,Excelente,SI
478,184100,7750,1419,Excelente,SI
479,195500,10125,1594,Excelente,SI
480,192000,8965,1489,Excelente,SI
481,178000,8174,1342,Excelente,SI
482,207500,5063,1314,Excelente,SI
483,236000,8795,2256,Excelente,SI
484,257500,12891,2004,Excelente,SI
485,244000,12224,2054,Excelente,SI
486,167000,9734,1374,Excelente,SI
487,179000,8123,1800,Excelente,SI
488,190000,8433,1514,Excelente,SI
489,156000,7750,1430,Excelente,SI
490,245000,15896,2312,Excelente,SI
491,181000,24682,1675,Excelente,SI
492,214000,8755,2060,Excelente,SI
493,168000,7848,1430,Excelente,SI
494,337000,9430,2365,Excelente,SI
495,403000,15138,2794,Excelente,SI
496,327000,12720,2687,Excelente,SI
497,340000,16545,2450,Excelente,SI
498,336000,12203,2612,Excelente,SI
499,265000,10208,2344,Excelente,SI
500,315000,10750,2063,Excelente,SI
501,260000,9900,2646,Excelente,SI
502,260000,9085,2061,Excelente,SI
503,263550,11692,2232,Excelente,SI
504,402000,46589,2448,Excelente,SI
505,248000,29959,1850,Excelente,SI
506,244600,9612,1468,Excelente,SI
507,275000,11194,1696,Excelente,SI
508,257500,10206,1658,Excelente,SI
509,287090,9262,1578,Excelente,SI
510,275500,10130,1702,Excelente,SI
511,245000,9139,1432,Excelente,SI
512,253000,9675,1971,Excelente,SI
513,468000,11128,2490,Excelente,SI
514,252678,8640,1852,Excelente,SI
515,210000,9000,1590,Excelente,SI
516,208300,7862,1218,Excelente,SI
517,225000,7993,1436,Excelente,SI
518,229456,8640,1314,Excelente,SI
519,229800,8640,1402,Excelente,SI
520,250000,12606,1530,Excelente,SI
521,370878,9187,1766,Excelente,SI
522,238500,7500,1448,Excelente,SI
523,310000,11003,2007,Excelente,SI
524,270000,10603,1795,Excelente,SI
525,252000,10574,1953,Excelente,SI
526,241000,8125,1550,Excelente,SI
527,264500,8125,1836,Excelente,SI
528,291000,10625,1662,Excelente,SI
529,263000,9375,2094,Excelente,SI
530,185000,7500,1221,Excelente,SI
531,234500,8736,1553,Excelente,SI
532,209000,8127,1653,Excelente,SI
533,159000,9605,1218,Excelente,SI
534,152000,7500,1141,Excelente,SI
535,143500,7500,1158,Excelente,SI
536,193000,10628,1812,Excelente,SI
537,203000,10141,1512,Excelente,SI
538,184900,10083,1200,Excelente,SI
539,159000,13072,1114,Excelente,SI
540,142000,13072,1114,Excelente,SI
541,153000,12450,1114,Excelente,SI
542,224243,7328,1450,Excelente,SI
543,220000,11492,2122,Excelente,SI
544,257000,10994,1844,Excelente,SI
545,189000,8529,1434,Excelente,SI
546,171500,7703,1730,Excelente,SI
547,120000,10762,1217,Tipico_pobre,SI
548,145000,7175,1332,Bueno,SI
549,184000,9109,1540,Excelente,SI
550,162000,10274,1400,Tipico_pobre,SI
551,160000,8250,1882,Tipico_pobre,SI
552,82000,8400,841,Bueno,SI
553,76000,9000,784,Tipico_pobre,NO
554,110000,9750,980,Bueno,SI
555,135000,7064,980,Tipico_pobre,SI
556,141000,8499,864,Excelente,SI
557,122000,9079,864,Tipico_pobre,SI
558,124100,9316,1020,Bueno,SI
559,129000,7791,912,Excelente,SI
560,131400,10000,1144,Excelente,SI
561,62383,8281,864,Bueno,SI
562,123000,7150,912,Bueno,SI
563,275000,15676,2014,Bueno,SI
564,235000,11949,1755,Excelente,SI
565,280750,2880,3005,Excelente,SI
566,164500,3951,1224,Excelente,SI
567,173733,3000,1224,Excelente,SI
568,222000,3830,1726,Excelente,SI
569,195000,4217,1256,Excelente,SI
570,172500,3230,1471,Bueno,SI
571,180000,2998,1512,Excelente,SI
572,156000,3768,1452,Excelente,SI
573,172500,2645,1739,Excelente,SI
574,318750,14694,1694,Excelente,SI
575,211500,3782,1226,Tipico_pobre,SI
576,241600,15417,1740,Tipico_pobre,SI
577,180500,9600,2499,Excelente,SI
578,150000,9991,1620,Excelente,SI
579,154000,11700,1556,Excelente,SI
580,185000,11717,1442,Tipico_pobre,SI
581,185750,9156,1489,Bueno,SI
582,200000,10382,2090,Excelente,SI
583,206000,12732,2067,Tipico_pobre,SI
584,162000,12936,1395,Tipico_pobre,SI
585,256900,10400,2640,Bueno,SI
586,197900,17871,1724,Tipico_pobre,SI
587,163000,9600,1336,Tipico_pobre,SI
588,113000,9000,1216,Tipico_pobre,SI
589,230000,13774,2288,Excelente,SI
590,167900,9650,1334,Tipico_pobre,SI
591,213250,10140,1680,Excelente,SI
592,227000,8400,1665,Excelente,SI
593,130000,7130,864,Tipico_pobre,SI
594,143000,9600,1568,Tipico_pobre,SI
595,117500,9100,925,Excelente,SI
596,168500,9600,2061,Bueno,SI
597,172500,16500,1320,Tipico_pobre,SI
598,161500,9790,1342,Tipico_pobre,SI
599,141500,7436,894,Bueno,SI
600,118000,8125,864,Excelente,SI
601,127500,9100,864,Excelente,SI
602,140000,9450,1362,Tipico_pobre,SI
603,177625,13495,1728,Tipico_pobre,SI
604,110000,11475,1776,Tipico_pobre,SI
605,167000,10004,1516,Tipico_pobre,SI
606,153000,9350,1313,Tipico_pobre,SI
607,145100,10500,1292,Tipico_pobre,SI
608,154000,11000,1154,Excelente,SI
609,177500,8970,2140,Tipico_pobre,SI
610,158000,12095,1445,Tipico_pobre,SI
611,124500,9600,1041,Excelente,SI
612,174500,11475,1576,Excelente,SI
613,122000,9768,960,Bueno,SI
614,82500,5330,708,Bueno,SI
615,110000,7015,1203,Tipico_pobre,SI
616,149500,12160,1505,Excelente,SI
617,175000,9900,1691,Tipico_pobre,SI
618,167000,9600,1644,Tipico_pobre,SI
619,128900,9600,1050,Bueno,SI
620,140000,9600,1668,Excelente,SI
621,147000,9600,1113,Bueno,SI
622,124000,8944,1584,Tipico_pobre,SI
623,187500,10573,1453,Excelente,SI
624,159000,9500,1394,Bueno,SI
625,256000,14695,1567,Bueno,SI
626,205000,13600,1986,Tipico_pobre,SI
627,193500,13000,2142,Tipico_pobre,SI
628,110000,13560,1392,Bueno,SI
629,104900,12513,1738,Bueno,SI
630,150000,8760,1144,Tipico_pobre,SI
631,156500,8400,1478,Bueno,SI
632,176000,12285,1329,Bueno,SI
633,149500,9240,988,Tipico_pobre,SI
634,139000,9600,1632,Bueno,SI
635,155000,12400,1215,Tipico_pobre,SI
636,120000,8750,1202,Tipico_pobre,SI
637,153000,8750,1382,Bueno,SI
638,144000,10400,1200,Tipico_pobre,SI
639,176000,19296,1382,Tipico_pobre,SI
640,153000,8532,1297,Bueno,SI
641,135000,9482,1866,Excelente,SI
642,131000,8128,1062,Bueno,SI
643,123000,10634,1319,Tipico_pobre,SI
644,126000,13070,1112,Tipico_pobre,SI
645,115000,10434,1005,Tipico_pobre,SI
646,164900,14559,1363,Excelente,SI
647,113000,8480,793,Tipico_pobre,SI
648,145500,7626,1031,Bueno,SI
649,102900,9533,1210,Tipico_pobre,SI
650,95000,10615,1699,Tipico_pobre,SI
651,152500,11419,1527,Excelente,SI
652,129900,9600,1200,Tipico_pobre,SI
653,132000,8000,972,Excelente,SI
654,99900,5470,792,Bueno,SI
655,135000,10410,1656,Excelente,SI
656,149000,10800,1352,Excelente,SI
657,114000,8146,1039,Bueno,SI
658,109500,9022,792,Excelente,SI
659,125000,10230,1078,Excelente,SI
660,142900,10410,2377,Tipico_pobre,SI
661,156500,7200,1690,Excelente,SI
662,59000,5400,599,Bueno,NO
663,105000,5400,1374,Excelente,SI
664,106000,10800,846,Tipico_pobre,NO
665,78500,10800,725,Tipico_pobre,SI
666,190000,9671,2544,Tipico_pobre,SI
667,154000,10143,1380,Tipico_pobre,SI
668,163000,11500,1040,Bueno,SI
669,200000,11643,2634,Tipico_pobre,SI
670,143500,8010,951,Bueno,SI
671,135000,10454,1105,Bueno,SI
672,153000,8712,1306,Tipico_pobre,SI
673,157500,17600,1478,Excelente,SI
674,113500,9000,1142,Tipico_pobre,SI
675,133000,12144,1268,Bueno,SI
676,92900,8544,1040,Tipico_pobre,NO
677,128500,8064,1133,Bueno,NO
678,90000,7200,1040,Tipico_pobre,NO
679,138000,7200,1904,Bueno,SI
680,128000,7350,1041,Bueno,SI
681,139000,7560,1339,Tipico_pobre,SI
682,118900,7200,732,Tipico_pobre,SI
683,138000,8000,1183,Tipico_pobre,SI
684,132500,7931,1148,Tipico_pobre,SI
685,133500,10800,1461,Tipico_pobre,SI
686,135000,8064,1495,Tipico_pobre,SI
687,144750,7570,1806,Tipico_pobre,SI
688,145000,8604,941,Bueno,SI
